id,category,topic,displayTopic,minLabel,maxLabel
1,意外な一面・価値観,友達にされても意外と許せること,友達にされても｜意外と許せること,かなり軽め,かなり強め
2,意外な一面・価値観,実はちょっと憧れている生き方,実はちょっと憧れている生き方,かなり軽め,かなり強め
3,意外な一面・価値観,急に100万円もらったらやってみたいこと,急に100万円もらったら｜やってみたいこと,かなり軽め,かなり強め
4,意外な一面・価値観,自分では意外と得意だと思っていること,自分では意外と得意｜だと思っていること,かなり軽め,かなり強め
5,意外な一面・価値観,一人だったらこっそりやってみたいこと,一人だったら｜こっそりやってみたいこと,かなり軽め,かなり強め
6,意外な一面・価値観,実は言われると結構うれしい褒め言葉,実は言われると｜結構うれしい褒め言葉,かなり軽め,かなり強め
7,意外な一面・価値観,友達には見られたくない瞬間,友達には見られたくない瞬間,かなり軽め,かなり強め
8,意外な一面・価値観,人生をやり直せるなら変えてみたいこと,人生をやり直せるなら｜変えてみたいこと,かなり軽め,かなり強め
9,意外な一面・価値観,意外とこれだけは譲れないと思うこと,意外とこれだけは｜譲れないと思うこと,かなり軽め,かなり強め
10,意外な一面・価値観,周りから勘違いされていると思う自分の一面,周りから勘違いされていると思う｜自分の一面,かなり軽め,かなり強め
11,意外な一面・価値観,実は人より気にしていること,実は人より気にしていること,かなり軽め,かなり強め
12,意外な一面・価値観,誰にも言っていない小さなこだわり,誰にも言っていない｜小さなこだわり,かなり軽め,かなり強め
13,意外な一面・価値観,意外と本気で怒ってしまいそうなこと,意外と本気で怒っ｜てしまいそうなこと,かなり軽め,かなり強め
14,意外な一面・価値観,実はちょっと怖いと思っているもの,実はちょっと怖｜いと思っているもの,かなり軽め,かなり強め
15,意外な一面・価値観,人には言いづらいけど苦手なこと,人には言いづらいけど｜苦手なこと,かなり軽め,かなり強め
16,意外な一面・価値観,自分だけは分かってほしいと思うこと,自分だけは分かっ｜てほしいと思うこと,かなり軽め,かなり強め
17,意外な一面・価値観,実は密かに自信があるところ,実は密かに自信があるところ,かなり軽め,かなり強め
18,意外な一面・価値観,思っているより傷ついてしまう一言,思っているより｜傷ついてしまう一言,かなり軽め,かなり強め
19,意外な一面・価値観,意外と簡単に機嫌が直ること,意外と簡単に機嫌が直ること,かなり軽め,かなり強め
20,意外な一面・価値観,本当は誰かにやってほしいこと,本当は誰かにやってほしいこと,かなり軽め,かなり強め
21,意外な一面・価値観,実は一度くらい注目されてみたい場面,実は一度くらい｜注目されてみたい場面,かなり軽め,かなり強め
22,意外な一面・価値観,人に任せるより自分でやりたいこと,人に任せるより自｜分でやりたいこと,かなり軽め,かなり強め
23,意外な一面・価値観,実はかなり面倒くさがっていること,実はかなり面倒く｜さがっていること,かなり軽め,かなり強め
24,意外な一面・価値観,意外と我慢できると思うこと,意外と我慢できると思うこと,かなり軽め,かなり強め
25,意外な一面・価値観,これをされたら急に仲良くなれそうなこと,これをされたら｜急に仲良くなれそうなこと,かなり軽め,かなり強め
26,意外な一面・価値観,友達にされたら少し距離を置きたくなること,友達にされたら｜少し距離を置きたくなること,かなり軽め,かなり強め
27,意外な一面・価値観,自分の性格で意外と好きなところ,自分の性格で｜意外と好きなところ,かなり軽め,かなり強め
28,意外な一面・価値観,自分の性格でこっそり直したいところ,自分の性格で｜こっそり直したいところ,かなり軽め,かなり強め
29,意外な一面・価値観,実は他人と比べてしまうこと,実は他人と比べてしまうこと,かなり軽め,かなり強め
