id,category,topic,minLabel,maxLabel
1001,食べ物・飲み物,今食べたいもの,全然食べたくない,今すぐ食べたい
1002,食べ物・飲み物,今飲みたいもの,全然飲みたくない,今すぐ飲みたい
1003,食べ物・飲み物,ごほうびに食べたいもの,ごほうび感がない,最高のごほうび
1004,食べ物・飲み物,夜食に食べたいもの,選びたくない,今すぐ選びたい
1005,食べ物・飲み物,休日の昼に食べたいもの,あまり気分じゃない,最高に食べたい
1006,食べ物・飲み物,朝ごはんにうれしいもの,あまりうれしくない,最高にうれしい
1007,食べ物・飲み物,居酒屋で最初に頼みたいもの,後回しでいい,真っ先に頼みたい
1008,食べ物・飲み物,コンビニで見つけたら買いたいもの,買わなくていい,絶対買いたい
1009,食べ物・飲み物,回転寿司で食べたいネタ,あまり選ばない,何皿でも食べたい
1010,食べ物・飲み物,焼肉で食べたいもの,あまり頼まない,絶対頼みたい
1011,食べ物・飲み物,鍋に入っていたらうれしい具,なくてもいい,絶対ほしい
1012,食べ物・飲み物,ラーメンのトッピングでほしいもの,なくてもいい,絶対ほしい
1013,食べ物・飲み物,カレーに合うと思うもの,あまり合わない,最高に合う
1014,食べ物・飲み物,おにぎりの具で選びたいもの,あまり選ばない,真っ先に選ぶ
1015,食べ物・飲み物,アイスで食べたい味,あまり選ばない,絶対選びたい
1016,食べ物・飲み物,ケーキ屋で選びたいもの,あまり選ばない,真っ先に選ぶ
1017,食べ物・飲み物,ファミレスで頼みたいメニュー,あまり頼まない,今すぐ頼みたい
1018,食べ物・飲み物,お酒のつまみにほしいもの,あまりほしくない,最高にほしい
1019,食べ物・飲み物,旅行先で食べたいご当地グルメ,なくてもいい,絶対食べたい
1020,食べ物・飲み物,家に常備しておきたい食べ物,なくても平気,絶対置いておきたい
1021,アニメ・漫画,今見たいアニメ作品,全然見たくない,今すぐ見たい
1022,アニメ・漫画,今読みたい漫画作品,全然読みたくない,今すぐ読みたい
1023,アニメ・漫画,もう一度最初から見たいアニメ,見返さなくていい,今すぐ見返したい
1024,アニメ・漫画,もう一度最初から読みたい漫画,読み返さなくていい,今すぐ読み返したい
1025,アニメ・漫画,友達におすすめしたいアニメ,おすすめしにくい,絶対おすすめしたい
1026,アニメ・漫画,友達におすすめしたい漫画,おすすめしにくい,絶対おすすめしたい
1027,アニメ・漫画,一緒に旅したいアニメ・漫画キャラ,一緒はちょっと不安,絶対一緒に行きたい
1028,アニメ・漫画,仲間にしたいアニメ・漫画キャラ,仲間にはしにくい,絶対仲間にしたい
1029,アニメ・漫画,上司になってほしいアニメ・漫画キャラ,上司は嫌だ,理想の上司
1030,アニメ・漫画,友達になりたいアニメ・漫画キャラ,友達は難しそう,絶対友達になりたい
1031,アニメ・漫画,強そうなアニメ・漫画キャラ,そこまで強くなさそう,最強クラス
1032,アニメ・漫画,頼りになりそうなアニメ・漫画キャラ,少し不安,絶対頼れる
1033,アニメ・漫画,一緒に飲みに行きたいキャラ,あまり行きたくない,絶対行きたい
1034,アニメ・漫画,家に遊びに来てほしいキャラ,来なくてもいい,ぜひ来てほしい
1035,アニメ・漫画,能力を1つもらえるならほしいキャラ,あまりほしくない,絶対ほしい
1036,アニメ・漫画,実際に住んでみたいアニメ・漫画の世界,住むのは不安,ぜひ住みたい
1037,アニメ・漫画,続編があったら見たい作品,なくてもいい,絶対見たい
1038,アニメ・漫画,泣けると思うアニメ・漫画作品,あまり泣かなそう,大号泣しそう
1039,アニメ・漫画,テンションが上がるアニメ・漫画の展開,そこまで上がらない,最高に上がる
1040,アニメ・漫画,最終回が楽しみになる作品,そこまで気にならない,絶対見届けたい
1041,ゲーム,今遊びたいゲーム,全然やりたくない,今すぐ遊びたい
1042,ゲーム,友達と集まって遊びたいゲーム,あまり向いていない,絶対盛り上がる
1043,ゲーム,一人でじっくり遊びたいゲーム,あまり向いていない,何時間でも遊びたい
1044,ゲーム,もう一度最初から遊びたいゲーム,やり直さなくていい,今すぐやり直したい
1045,ゲーム,リメイクしてほしいゲーム,そのままでいい,絶対リメイクしてほしい
1046,ゲーム,続編がほしいゲーム,なくてもいい,絶対ほしい
1047,ゲーム,ゲームで使いたい武器,あまり使いたくない,絶対使いたい
1048,ゲーム,ゲームで仲間にしたい職業,あまり頼らない,絶対仲間にしたい
1049,ゲーム,ゲームの世界で住みたい場所,住むのは不安,ぜひ住みたい
1050,ゲーム,ゲームでテンションが上がる瞬間,そこまで上がらない,最高に上がる
1051,ゲーム,ゲームセンターで遊びたいもの,あまりやらない,絶対やりたい
1052,ゲーム,協力プレイで頼りたい能力,なくてもいい,絶対ほしい
1053,ゲーム,ボードゲーム会で遊びたいゲーム,あまり選ばない,真っ先に選びたい
1054,ゲーム,昔のゲーム機で今遊びたいもの,今は遊ばなくていい,今すぐ遊びたい
1055,ゲーム,ゲーム実況で見たいゲーム,あまり見たくない,ずっと見ていたい
1056,ゲーム,ゲームで集めたいアイテム,そこまで集めたくない,全部集めたい
1057,ゲーム,RPGで仲間にしたいタイプ,あまり必要ない,絶対必要
1058,ゲーム,ゲームのボスとして戦いたくない相手,そこまで怖くない,絶対戦いたくない
1059,ゲーム,ゲームで欲しい特殊能力,あまりいらない,絶対ほしい
1060,ゲーム,休日を丸一日使って遊びたいゲーム,そこまで使いたくない,丸一日でも足りない
1061,旅行・おでかけ,今行きたい旅行先,あまり行きたくない,今すぐ行きたい
1062,旅行・おでかけ,国内旅行で行きたい場所,あまり惹かれない,絶対行きたい
1063,旅行・おでかけ,海外旅行で行きたい場所,あまり惹かれない,絶対行きたい
1064,旅行・おでかけ,温泉旅行で行きたい場所,あまり惹かれない,絶対行きたい
1065,旅行・おでかけ,ドライブで行きたい場所,あまり行きたくない,今すぐ行きたい
1066,旅行・おでかけ,日帰りで遊びに行きたい場所,あまり行きたくない,絶対行きたい
1067,旅行・おでかけ,夜景を見に行きたい場所,そこまで見たくない,絶対見たい
1068,旅行・おでかけ,桜を見に行きたい場所,そこまで行かなくていい,絶対行きたい
1069,旅行・おでかけ,紅葉を見に行きたい場所,そこまで行かなくていい,絶対行きたい
1070,旅行・おでかけ,海を見に行くなら行きたい場所,あまり惹かれない,絶対行きたい
1071,旅行・おでかけ,旅館で楽しみにしているもの,そこまで重要じゃない,一番楽しみ
1072,旅行・おでかけ,ホテル選びで大事なもの,そこまで重要じゃない,絶対外せない
1073,旅行・おでかけ,旅行で持っていきたいもの,なくても平気,絶対必要
1074,旅行・おでかけ,旅行中に食べたいもの,なくてもいい,絶対食べたい
1075,旅行・おでかけ,観光地でやりたいこと,やらなくてもいい,絶対やりたい
1076,旅行・おでかけ,雨の日でも行きたい場所,雨なら行かなくていい,雨でも絶対行きたい
1077,旅行・おでかけ,一泊二日でも満足できそうな場所,少し物足りない,最高に満足できる
1078,旅行・おでかけ,何度でも行きたい場所,一度で十分,何度でも行きたい
1079,旅行・おでかけ,写真を撮りたくなる場所,あまり撮らない,絶対撮りたい
1080,旅行・おでかけ,老後にゆっくり行きたい場所,あまり惹かれない,絶対行きたい
1081,休日・趣味,今の休日にしたいこと,あまりしたくない,今すぐしたい
1082,休日・趣味,家でのんびりする日にしたいこと,あまり向いていない,最高にしたい
1083,休日・趣味,一人の時間にしたいこと,あまりしたくない,絶対したい
1084,休日・趣味,友達と休みにしたいこと,あまりしたくない,絶対したい
1085,休日・趣味,雨の日の休日にしたいこと,あまりしたくない,最高にしたい
1086,休日・趣味,夜更かししてでもやりたいこと,そこまでしたくない,朝まででもやりたい
1087,休日・趣味,新しく始めたい趣味,あまり興味がない,今すぐ始めたい
1088,休日・趣味,長く続けられそうな趣味,続かなそう,ずっと続けたい
1089,休日・趣味,お金をかけても楽しみたい趣味,あまりかけたくない,いくらでもかけたい
